Date,open,high,low,Close,adj_close,volume_shares
2022-06-29,116.66333,116.666664,110.496666,110.536667,107.000603,108343806
2022-06-30,110.333336,113.116669,110.0,111.16333,107.607224,66043434
2022-07-01,110.726669,111.0,106.699997,109.73333,106.222961,70233789
2022-07-04,110.666664,112.736664,110.066666,112.053329,108.46875,62853618
2022-07-05,112.333336,113.533333,109.863335,111.296669,107.736282,52127109
2022-07-06,111.266663,113.533333,110.66333,112.033333,108.449394,55030260
2022-07-07,112.566666,117.316666,111.123337,116.459999,112.734444,91394622
2022-07-08,116.459999,117.293335,112.666664,112.666664,109.062462,57143271
2022-07-11,111.959999,111.959999,106.293335,108.099998,104.641876,76295232
2022-07-12,106.666664,107.0,100.026665,103.0,99.705032,135154407
2022-07-13,103.0,104.613335,98.923332,103.293335,99.988983,102320085
2022-07-14,102.970001,107.666664,102.333336,107.666664,104.222404,81746808
2022-07-15,111.666664,116.629997,111.0,112.730003,109.123779,133352352
2022-07-18,115.0,115.333336,109.333336,112.366669,108.772064,71673468
2022-07-19,112.366669,112.366669,109.206665,110.366669,106.836044,47454075
2022-07-20,110.993332,111.286667,109.693336,110.566666,107.029648,30979044
2022-07-21,109.666664,110.333336,107.646667,108.166664,104.706406,39600984
2022-07-22,108.669998,111.553329,108.666664,109.873337,106.35849,42532122
2022-07-25,108.666664,109.0,106.666664,107.650002,104.206284,34505130
2022-07-26,107.493332,109.226669,106.666664,108.333336,104.867752,32296848
2022-07-27,108.0,109.933334,107.003334,108.599998,105.125877,27316716
2022-07-28,109.673332,110.48333,108.0,108.476669,105.0065,32719551
2022-07-29,107.666664,109.266663,105.986664,106.786667,103.403931,34456092
2022-08-01,105.993332,110.693336,105.440002,110.18,106.689766,56275128
2022-08-02,108.300003,110.160004,107.099998,108.866669,105.418037,46992798
2022-08-03,108.900002,111.616669,106.296669,107.330002,103.930054,56616933
2022-08-04,109.333336,110.489998,107.366669,108.933334,105.482597,55991031
2022-08-05,110.0,110.629997,106.09333,108.16333,104.736977,47269155
2022-08-08,107.370003,108.300003,106.333336,107.116669,103.723473,38846358
2022-08-09,107.059998,107.933334,106.050003,106.573334,103.19735,34831983
2022-08-10,106.566666,106.566666,101.666664,102.783333,99.527412,77549703
